method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
random_search,9,0.00019022195423001629,128,3,64,64,256,5,0.18099822185680547,64,0.91,0.2486962794860204,0.9024,0.2665802838742733,82.81987404823303,2505738,adamw,3.0237613021454307e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,10,0.005274797835850612,64,3,16,128,128,3,0.19238365583725003,256,0.8968333333333334,0.2747108430465062,0.8951,0.28254031682014463,49.71396064758301,761530,sgd,3.866722765081481e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,11,0.0022938595363362463,32,3,64,64,256,5,0.05577608679793822,128,0.925,0.19638087486475705,0.9154,0.2525940701454878,123.70962858200073,2655434,adam,2.2970535457474088e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,12,0.008785696523496332,64,3,16,128,128,3,0.0764196342748174,64,0.8643333333333333,0.38946871789296467,0.8564,0.39734891629219055,54.17621684074402,538234,adamw,0.000725269213838676,0.0,,,,,,,,,,FashionMNIST,42
random_search,13,0.0015772087178392035,256,1,16,64,128,3,0.028962583247093776,256,0.9238333333333333,0.229224971195062,0.9199,0.27806738567352296,25.333747625350952,808186,adam,1.8070091688765019e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,14,0.00428594414383087,64,1,64,64,256,3,0.13252831447002955,256,0.9095,0.24711208019653957,0.9043,0.2621880798101425,51.32532024383545,3251658,sgd,0.0007817874924482802,0.0,,,,,,,,,,FashionMNIST,42
random_search,15,0.0026662320560911917,256,3,64,64,128,5,0.06050209793413286,64,0.9106666666666666,0.24082122921943663,0.9092,0.25478591876029966,61.67183566093445,998154,adam,1.0333719919396349e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,16,0.001502727481746676,32,1,64,128,64,3,0.03370016405515375,64,0.9038333333333334,0.258626573741436,0.8996,0.2774987720131874,65.19443464279175,841098,sgd,1.6314435440561296e-06,0.0,,,,,,,,,,FashionMNIST,42
random_search,17,0.00036054089121966335,256,1,64,32,256,5,0.12149862119786226,128,0.8078333333333333,0.5337959303061167,0.804,0.543857103395462,38.39680337905884,1711178,sgd,3.7258875470092987e-06,0.0,,,,,,,,,,FashionMNIST,42
random_search,18,0.0020795314796063537,128,2,32,64,256,3,0.33668227364665076,256,0.9303333333333333,0.18651034186283746,0.925,0.2069419877052307,33.7340202331543,871018,adam,1.5199805205200254e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,19,0.003991949344645287,32,1,16,32,256,5,0.07009114854738724,64,0.9133333333333333,0.2363672798673312,0.9081,0.2550040731191635,64.65929794311523,208250,sgd,2.4427791540672388e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,20,0.0007695936756467131,32,1,64,128,64,3,0.4631834915040638,64,0.9208333333333333,0.2135400175601244,0.9197,0.22285831639766693,65.56780004501343,841354,adam,1.6566935211847058e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,21,0.00026760523091972797,256,1,16,64,64,5,0.13260152908607598,128,0.866,0.3842933039665222,0.8631,0.3874546194076538,21.402865648269653,409722,sgd,1.8579005272228173e-05,1.0,,,,,,,,,,FashionMNIST,42
